08/30/2014 01:00 PM,Altoona 28,Division IV,Team X Green,Iowa Rush Nero,0,0
09/27/2014 09:00 AM,Altoona 26,Division I,United FC,Red Star 1,0,0
08/24/2014 03:00 PM,Altoona 27,Division IV,Iowa Rush Nero,Barca 4,2,7
08/23/2014 05:00 PM,Altoona Turf,Division III,America Dreams,Ames Siteviz Hurricanes,0,3
08/23/2014 03:00 PM,Altoona Turf,Division II,Celtics 1,Ames Global Reach Hurricanes,5,5
08/30/2014 11:00 AM,Altoona Turf,Division II,Pulse,Celtics 1,0,3
08/27/2014 09:00 PM,Altoona Turf,Division III,Celtics 2,Eagles FC,2,2
08/31/2014 05:00 PM,Altoona Turf,Division IV,Celtics 3,Ames Mucky Ducks Hurricanes,2,7
09/24/2014 07:00 PM,Altoona Turf,Division IV,Iowa Rush Nero,Ames Mucky Ducks Hurricanes,1,0
09/06/2014 11:00 AM,Altoona 26,Division III,Metros,Team X1,3,7
08/30/2014 09:00 AM,Altoona Turf,Division I,Lutheran Crazies,United FC,2,8
10/04/2014 01:00 AM,Altoona 27,Division IV,Iowa Rush Nero,Ames British Foods Hurricanes,5,5
08/31/2014 07:00 AM,Altoona Turf,Division III,The Crew,Messi Heads,1,4
09/06/2014 09:00 AM,Altoona 27,Division IV,Team X Green,Barca 4,2,4
09/06/2014 01:00 PM,Altoona 27,Division II,Micki's Club,TST United,6,3
09/06/2014 05:00 PM,Altoona 26,Division III,Barca 3,Ames Siteviz Hurricanes,1,3
09/06/2014 11:00 AM,Altoona 27,Division II,Pulse,United West,4,7
09/07/2014 05:30 AM,Altoona Turf,Division III,Eagles FC,Messi Heads,1,8
09/07/2014 07:30 PM,Altoona Turf,Division II,Clockwork Orange,Micki's Club,4,2
09/07/2014 05:00 PM,Valley Southwoods East,Division II,Johnston,Des Moines Velociraptors,0,2
09/07/2014 03:00 PM,Valley Southwoods West,Division III,America Dreams,Celtics 2,4,1
10/04/2014 01:00 PM,Valley Southwoods East,Division III,Eagles FC,Metros,0,3
09/06/2014 03:00 PM,Altoona 27,Division III,The Crew,Iowa Rush,10,1
09/07/2014 05:00 PM,Valley Southwoods West,Division II,Athletic Bilbo Baggins,Celtics 1,3,1
09/10/2014 07:00 PM,Altoona Turf,Division II,Des Moines Velociraptors,Ames Global Reach Hurricanes,5,2
09/10/2014 09:00 PM,Altoona Turf,Division I,United FC,Lutheran Crazies,4,3
08/27/2014 07:00 PM,Altoona Turf,Division IV,Carlisle Pride,Ames British Foods Hurricanes,5,1
08/24/2014 07:00 PM,Altoona Turf,Division III,Iowa Rush,Metros,3,6
09/12/2014 06:30 PM,Altoona Turf,Division II,TST United,Red Star 2,2,3
09/13/2014 03:00 PM,Altoona 27,Division III,Ames Siteviz Hurricanes,Team X1,4,2
09/13/2014 09:00 AM,Altoona 26,Division III,America Dreams,Eagles FC,4,0
09/14/2014 05:30 PM,Altoona Turf,Division II,Clockwork Orange,Celtics 1,1,3
09/13/2014 11:00 AM,Altoona 27,Division IV,Ames British Foods Hurricanes,Strikers,3,2
09/06/2014 03:00 PM,Altoona 26,Division IV,Carlisle Pride,Ames Mucky Ducks Hurricanes,3,3
09/13/2014 01:00 PM,Altoona 27,Division IV,Ames Mucky Ducks Hurricanes,Team X Green,5,1
09/13/2014 01:00 PM,Valley Southwoods East,Division III,Metros,The Crew,0,1
09/13/2014 01:00 PM,Altoona 26,Division II,Micki's Club,Johnston,1,4
09/14/2014 07:30 PM,Altoona Turf,Division IV,Iowa Rush Nero,Celtics 3,3,0
09/17/2014 09:00 PM,Altoona Turf,Division III,Barca 3,America Dreams,2,0
09/27/2014 03:00 PM,Altoona 26,Division II,Pulse,Ames Global Reach Hurricanes,4,3
09/21/2014 03:00 PM,Valley Southwoods East,Division II,Athletic Bilbo Baggins,Ames Danfoss Hurricanes,7,0
09/28/2014 05:30 PM,Altoona Turf,Division II,Ames Danfoss Hurricanes,Clockwork Orange,3,1
10/18/2014 03:00 PM,Altoona 27,Division I,Cosmic Brownies,Red Star 1,0,0
09/20/2014 03:00 PM,Altoona 27,Division III,Barca 3,The Crew,6,3
10/26/2014 03:00 PM,Altoona 28,Division III,Iowa Rush,Team X1,2,3
09/20/2014 11:00 AM,Altoona 26,Division II,United West,Micki's Club,4,3
09/21/2014 05:00 PM,Valley Southwoods West,Division III,Team X1,Barca 3,5,1
